ID,Title,Genre,Director,Studio,Release year,Rating,URL,Description
1,The Godfather,"Crime, Drama",Francis Ford Coppola,Paramount Pictures,24-Mar-72,9.2,http://www.imdb.com/title/tt0068646/?ref_=nv_sr_1,"When the aging head of a famous crime family decides to transfer his position to one of his subalterns, a series of unfortunate events start happening to the family, and a war begins between all the well-known families leading to insolence, deportation, murder and revenge, and ends with the favorable successor being finally chosen."
2,The Godfather: Part II,"Crime, Drama",Francis Ford Coppola,Paramount Pictures,20-Dec-74,9,http://www.imdb.com/title/tt0071562/?ref_=tt_rec_tt,"The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba."
3,The Shawshank Redemption,"Crime, Drama",Frank Darabont,Castle Rock Entertainment,14-Oct-94,9.3,http://www.imdb.com/title/tt0111161/?ref_=tt_rec_tt,"Chronicles the experiences of a formerly successful banker as a prisoner in the gloomy jailhouse of Shawshank after being found guilty of a crime he did not commit. The film portrays the man's unique way of dealing with his new, torturous life; along the way he befriends a number of fellow prisoners, most notably a wise long-term inmate named Red."
4,The Godfather: Part III,"Crime, Drama",Francis Ford Coppola,Paramount Pictures,25-Dec-90,7.6,http://www.imdb.com/title/tt0099674/?ref_=tt_rec_tt,"In the final instalment of the Godfather Trilogy, an aging Don Michael Corleone seeks to legitimize his crime family's interests and remove himself from the violent underworld but is kept back by the ambitions of the young. While he attempts to link the Corleone's finances with the Vatican, Michael must deal with the machinations of a hungrier gangster seeking to upset the existing Mafioso order and a young protoge's love affair with his daughter."
5,Pulp Fiction,"Crime, Drama",Quentin Tarantino,Miramax,14-Oct-94,8.9,http://www.imdb.com/title/tt0110912/?ref_=tt_rec_tt,"Jules Winnfield (Samuel L. Jackson) and Vincent Vega (John Travolta) are two hit men who are out to retrieve a suitcase stolen from their employer, mob boss Marsellus Wallace (Ving Rhames). Wallace has also asked Vincent to take his wife Mia (Uma Thurman) out a few days later when Wallace himself will be out of town. Butch Coolidge (Bruce Willis) is an aging boxer who is paid by Wallace to lose his next fight. The lives of these seemingly unrelated people are woven together comprising of a series of funny, bizarre and uncalled-for incidents."
6,Superbad,Comedy,Greg Mottola,Columbia Pictures,17-Aug-07,7.6,http://www.imdb.com/title/tt0829482/?ref_=nv_sr_1,"Seth and Evan are best friends, inseparable, navigating the last weeks of high school. Usually shunned by the popular kids, Seth and Evan luck into an invitation to a party, and spend a long day, with the help of their nerdy friend Fogell, trying to score enough alcohol to lubricate the party and inebriate two girls, Jules and Becca, so they can kick-start their sex lives and go off to college with a summer full of experience and new skills. Their quest is complicated by Fogell's falling in with two inept cops who both slow and assist the plan. If they do get the liquor to the party, what then? Is sex the only rite of passage at hand?"
7,Pineapple Express,"Action, Comedy, Crime",David Gordon Green,Columbia Pictures,6-Aug-08,7,http://www.imdb.com/title/tt0910936/?ref_=tt_rec_tt,"Lazy court-process clerk and stoner Dale Denton has only one reason to visit his equally lazy dealer Saul Silver: to purchase weed, specifically, a rare new strain called Pineapple Express. But when Dale becomes the only witness to a murder by a crooked cop and the city's most dangerous drug lord, he panics and dumps his roach of Pineapple Express at the scene. Dale now has another reason to visit Saul: to find out if the weed is so rare that it can be traced back to him--and it is. As Dale and Saul run for their lives, they quickly discover that they're not suffering from weed-fueled paranoia: incredibly, the bad guys really are hot on their trail and trying to figure out the fastest way to kill them both. All aboard the Pineapple Express."
8,21 Jump Street,"Action, Comedy, Crime",Phil Lord,Colombia Pictures,16-Mar-12,7.2,http://www.imdb.com/title/tt1232829/?ref_=tt_rec_tt,"In high school, Schmidt (Jonah Hill) was a dork and Jenko (Channing Tatum) was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs."
9,This Is The End,"Comedy, Fantasy",Evan Goldberg,Colombia Pictures,12-Jun-13,6.7,http://www.imdb.com/title/tt1245492/?ref_=tt_rec_tt,"All Jay Baruchel expected coming to LA was a fun time with Seth Rogen with all the wild partying to have both by themselves and at James Franco's housewarming party. Suddenly, the Rapture hits and the Biblical Apocalypse has begun. Now, Jay and Seth are desperately sheltering in James' house for rescue along with a few other friends. Together, they must band together to attempt to survive the end of the world, only for Jay to find that they are all too dumb and superficial to do it until they discover the only way out."
10,The Hangover,Comedy,Todd Phillips,Warner Bros.,5-Jun-09,7.8,http://www.imdb.com/title/tt1119646/?ref_=tt_rec_tt,"Angelenos Doug Billings and Tracy Garner are about to get married. Two days before the wedding, the four men in the wedding party - Doug, Doug's two best buddies Phil Wenneck and Stu Price, and Tracy's brother Alan Garner - hop into Tracy's father's beloved Mercedes convertible for a 24-hour stag party to Las Vegas. Phil, a married high school teacher, has the same maturity level as his students when he's with his pals. Stu, a dentist, is worried about everything, especially what his controlling girlfriend Melissa thinks. Because she disapproves of traditional male bonding rituals, Stu has to lie to her about the stag, he telling her that they are going on a wine tasting tour in the Napa Valley. Regardless, he intends on eventually marrying her, against the advice and wishes of his friends. And Alan seems to be unaware of what are considered the social graces of the western world. The morning after their arrival in Las Vegas, they awaken in their hotel suite each with the worst hangover. None remembers what happened in the past twelve or so hours. The suite is in shambles. And certain things are in the suite that shouldn't be, and certain things that should be in the suite are missing. Probably the most important in the latter category is Doug. As Phil, Stu and Alan try to find Doug using only what little pieces of information they have at hand, they go on a journey of discovery of how certain things got into the suite and what happened to the missing items. However they are on a race for time as if they can't find Doug in the next few hours, they are going to have to explain to Tracy why they are not yet back in Los Angeles. And even worse, they may not find Doug at all before the wedding."
